id,old_id,created_at
6818,NULL,21-01-2022 18:47
6819,NULL,24-01-2022 09:47
6820,NULL,24-01-2022 11:37
6821,NULL,24-01-2022 12:14
6822,NULL,24-01-2022 15:28
6823,NULL,24-01-2022 13:09
6824,NULL,24-01-2022 15:25
6825,NULL,24-01-2022 16:50
6826,NULL,25-01-2022 10:43
6827,NULL,25-01-2022 11:54
6828,NULL,25-01-2022 13:52
6829,NULL,25-01-2022 13:33
6830,NULL,25-01-2022 16:00
6831,NULL,25-01-2022 16:50
6832,NULL,25-01-2022 19:09
6833,NULL,22-12-2021 10:06
6834,NULL,17-12-2021 11:16
6835,NULL,13-12-2021 11:21
6836,NULL,15-12-2021 11:27
6837,NULL,07-12-2021 11:30
6838,NULL,20-12-2021 11:35
6839,NULL,27-01-2022 11:39
6840,NULL,27-01-2022 11:45
6841,NULL,27-01-2022 12:24
6842,NULL,27-01-2022 13:04
6843,NULL,27-01-2022 15:36
6844,NULL,27-01-2022 16:51
6845,NULL,27-01-2022 18:59
6846,NULL,27-01-2022 19:27
6847,NULL,28-01-2022 11:01
6848,NULL,28-01-2022 11:58
6849,NULL,28-01-2022 12:39
6850,NULL,28-01-2022 12:57
6851,NULL,28-01-2022 15:35
6852,NULL,28-01-2022 16:40
6853,NULL,28-01-2022 18:31
6854,NULL,31-01-2022 09:55
6855,NULL,31-01-2022 11:43
6856,NULL,31-01-2022 12:14
6857,NULL,31-01-2022 13:01
6858,NULL,31-01-2022 14:53
6859,NULL,31-01-2022 16:41
6860,NULL,31-01-2022 18:39
6861,NULL,01-02-2022 10:22
6862,NULL,01-02-2022 11:35
6863,NULL,01-02-2022 12:15
6864,NULL,01-02-2022 12:58
6865,NULL,01-02-2022 14:51
6866,NULL,01-02-2022 16:32
6867,NULL,02-02-2022 10:24
6868,NULL,02-02-2022 12:10
6869,NULL,02-02-2022 12:40
6870,NULL,02-02-2022 13:38
6871,NULL,02-02-2022 15:56
6872,NULL,02-02-2022 16:51
6873,NULL,02-02-2022 18:56
6874,NULL,21-01-2022 11:00
6875,NULL,10-01-2022 10:39
6876,NULL,19-01-2022 11:15
6877,NULL,03-01-2022 11:18
6878,NULL,05-01-2022 11:22
6879,NULL,03-02-2022 11:25
6880,NULL,03-02-2022 11:54
6881,NULL,03-02-2022 12:53
6882,NULL,17-01-2022 13:06
6883,NULL,26-01-2022 15:41
6884,NULL,03-02-2022 15:55
6885,NULL,03-02-2022 16:48
6886,NULL,05-01-2022 17:13
6887,NULL,03-02-2022 16:49
6888,NULL,11-01-2022 18:27
6889,NULL,03-02-2022 18:53
6890,NULL,04-02-2022 10:59
6891,NULL,04-02-2022 11:32
6892,NULL,04-02-2022 12:04
6893,NULL,04-02-2022 12:25
6894,NULL,04-02-2022 15:57
6895,NULL,04-02-2022 16:04
6896,NULL,04-02-2022 18:07
6897,NULL,07-02-2022 10:43
6898,NULL,07-02-2022 11:29
